s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
143.6190810,-29.7922606,-10.3418321,-0.0839447,-0.0806656,5.6766435,-3170.2128426,14.0000000
144.1867454,-29.7492165,-9.7758021,-0.0758996,-0.0708788,5.6766435,-3144.2171993,14.0000000
144.7544097,-29.7102699,-9.2094753,-0.0686623,-0.0637628,5.6766435,-3119.5346375,14.0000000
145.3220741,-29.6750973,-8.6429017,-0.0620000,-0.0586967,5.6766435,-3096.1283791,14.0000000
145.8897384,-29.6434791,-8.0761185,-0.0557275,-0.0552629,5.6766435,-3073.9765037,14.0000000
146.4574028,-29.6152832,-7.5091549,-0.0496904,-0.0531883,5.6766435,-3053.0683564,14.0000000
147.0250671,-29.5904539,-6.9420338,-0.0437535,-0.0523065,5.6766435,-3033.4020374,14.0000000
147.5927315,-29.3938029,-6.4095198,-0.3537535,2.6876754,5.6766435,-3030.9833317,14.0000000
148.1603958,-29.0535265,-5.9551468,-0.6427918,2.5112210,5.6766435,-3026.3414899,14.0000000
148.7280602,-28.6234631,-5.5846224,-0.8596307,1.8954918,5.6766435,-3001.7168427,14.0000000
149.2957245,-28.1413560,-5.2849299,-1.0146235,1.3600818,5.6766435,-2962.3007405,14.0000000
